client_id,client_type,first_name,last_name,date_of_birth,gender,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,listing_id,tower_number,transaction_date,unit_category,unit_number,floor_area_sqft,sale_price,listing_status,client_ref,age,country_Australia,country_Belgium,country_Canada,country_Denmark,country_France,country_Germany,country_Mexico,country_Russia,country_Uk,country_Usa,region_Alberta,region_Arizona,region_Baja California,region_Bavaria,region_Berlin,region_British Columbia,region_Brittany,region_Brussels,region_California,region_Capital Region,region_Central Denmark,region_Colorado,region_England,region_Flanders,region_Florida,region_Georgia,region_Hamburg,region_Hesse,region_Ile-De-France,region_Jalisco,region_Kansas,region_Krasnodar Krai,region_Manitoba,region_Mexico City,region_Moscow Oblast,region_Nevada,region_New South Wales,region_New York,region_Normandy,region_North Denmark,region_North Rhine-Westphalia,region_Northern Ireland,region_Novosibirsk,region_Nuevo Leon,region_Occitanie,region_Ohio,region_Ontario,region_Oregon,region_Provence,region_Puebla,region_Quebec,region_Queensland,region_Saint Petersburg,region_Scotland,region_South Australia,region_Southern Denmark,region_Tatarstan,region_Texas,region_Utah,region_Victoria,region_Virginia,region_Wales,region_Wallonia,region_Washington,region_Western Australia,region_Wyoming,region_Zealand,Cluster,KMeans_Cluster,Hierarchical_Cluster
C0001,1,Kareem,Liu,1968-05-11,F,0,0.75,Yes,2,90343,9,10-01-2024,Apartment,40,1090.32,"$351,419.29",Sold,C0001,0.4776119402985074,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,3,2
C0002,1,Trystan,Oconnor,,M,0,0.0,No,2,150044,15,01-01-2024,Apartment,6,938.57,"$299,245.20",Sold,C0002,0.4477611940298507,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0
C0003,1,Kale,Gay,1959-04-07,M,0,0.75,Yes,0,10104,1,07-01-2024,Apartment,13,719.47,"$216,874.97",Sold,C0003,0.6119402985074627,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,3,1
C0004,1,Russell,Gross,,M,0,1.0,No,2,4011,4,02-01-2024,Apartment,11,794.52,"$201,518.89",Sold,C0004,0.4477611940298507,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,2
C0005,0,Marleez,Co,,M,1,1.0,No,2,1019,1,02-01-2024,Apartment,19,827.87,"$239,341.58",Sold,C0005,0.4477611940298507,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,2
C0006,1,Yurem,Wright,1957-03-06,M,0,0.5,Yes,2,30238,3,01-01-2024,Apartment,27,1117.14,"$331,813.63",Sold,C0006,0.6417910447761195,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,2,1
C0007,1,Xavier,Faulkner,,M,1,1.0,No,2,3006,3,01-01-2024,Apartment,6,1132.06,"$356,506.37",Sold,C0007,0.4477611940298507,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,2
C0008,1,Kayden,Olsen,,F,0,1.0,No,2,4012,4,03-01-2024,Apartment,12,1121.95,"$290,031.26",Sold,C0008,0.4477611940298507,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,2
C0009,1,Joaquin,Mullins,1975-10-05,M,1,1.0,No,0,2006,2,12-01-2024,Apartment,6,1307.45,"$396,973.83",Sold,C0009,0.3731343283582089,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,2
C0010,1,Nicolas,Navarro,,M,1,0.5,No,0,20188,2,03-01-2024,Apartment,22,653.41,"$217,830.91",Sold,C0010,0.4477611940298507,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,2,3
C0011,1,Laci,Guerra,,F,0,0.25,Yes,2,140356,14,11-01-2024,Apartment,43,520.49,"$152,118.46",Sold,C0011,0.4477611940298507,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,2,0
